Year,Category,Title,Description,Image,Square_Image
2002,Rule,Quarterback Helmet-Helmet Rule,"This rule states that it is illegal to hit a quarterback helmet-to-helmet any time after a change of possession. This eliminated a particularly ruthless bit of defensive strategy, where if the quarterback threw an interception or fumbled the ball, then defenders were taught to hit him in the head as hard as possible, in an attempt to injure them and knock them out of the game. ",https://cdn.vox-cdn.com/thumbor/WLiiYoE9ePPrDNLoDDcWLAW2L0M=/0x0:2637x1763/1200x800/filters:focal(1029x296:1449x716)/cdn.vox-cdn.com/uploads/chorus_image/image/59179885/611984296.jpg.0.jpg,https://img.bleacherreport.net/img/images/photos/003/832/582/hi-res-bec0efae95b61550e054582ac80296ec_crop_exact.jpg?w=1200&h=1200&q=75
2006,Rule,Quarterback Low Hit Rule,"This rule states that low hits on the quarterback are prohibited when a rushing defender has an opportunity to avoid such contact. This was created to improve quarterback longevity, with the idea being that low hits often lead to injuries, which then result in short time spans for players. A quarterback with healthy legs lasts a long time in the NFL.",https://arc-anglerfish-arc2-prod-bostonglobe.s3.amazonaws.com/public/RFRUS2COZ4I6FIVY4RPDQDANOY.JPG,https://cdn.vox-cdn.com/thumbor/dob-X-kIgOpGnNL8VVieaPZxGo8=/0x26:2633x1781/1400x1400/filters:focal(0x26:2633x1781):format(jpeg)/cdn.vox-cdn.com/uploads/chorus_image/image/47465302/usa-today-8869794.0.jpg
2007,Rule,Receiver Block Below Waist Rule,"This rule states that a block below the waist against an eligible receiver while the quarterback is in the pocket is a 15-yard penalty instead of a 5-yard penalty (an illegal cut block). Often times quarterbacks are the most vulnerable when their receivers are not open, because it means that they have to spend more time in the pocket. This rule gives receivers more opportunity to run successful routes so the quarterback can throw the ball quicker, and be safer.",http://static5.businessinsider.com/image/50741d4fecad048a5c000004-462-346/brian-cushing-injured-by-jets-cheap-shot.jpg,https://cdn.vox-cdn.com/thumbor/hlii_eSDyBUzCMrAQpnZlWPBV_A=/61x246:4311x3079/1400x1400/filters:focal(61x246:4311x3079):format(jpeg)/cdn.vox-cdn.com/uploads/chorus_image/image/49146043/usa-today-8946331.0.jpg
2009,Rule,Defenseless Reciever Hit Rule,"This rule states that it is an illegal hit on a defenseless receiver if the initial force of the contact by the defender's helmet, forearm, or shoulder is to the head or neck area of the receiver. This rule makes it easier for quarterbacks to release the ball quickly because their receivers will be more willing to get into tough areas, as they feel more protected. Overall, this was a big push forward for player safety on the offensive end of the ball.",https://www.cbssports.com/images/blogs/harrison-smith21k-fine.jpg,https://cdn.vox-cdn.com/thumbor/3t3aTjHi99cw9VE-0-i_c7xvyZE=/1400x1400/filters:format(jpeg)/cdn.vox-cdn.com/uploads/chorus_asset/file/13704234/usa_today_12030884.jpg
2009,Rule,"The ""Tom Brady"" Rule","This rule clarified the rule regarding low hits on passers: A defender cannot initiate a roll or lunge and forcibly hit the passer in the knee area or below, even if he is being contacted by another player. This rule is called the Tom Brady rule, as he was injured for the rest of a season due to the results of a play where he was hit low. Ever since, quarterback's legs have been safer than ever.",https://operations.nfl.com/media/2675/dalton-low-hit.jpg?mode=max&width=995,https://cdn.vox-cdn.com/thumbor/BbeIPgJkLLh9DtXBxT1r75iXoSs=/1400x1400/filters:format(jpeg)/cdn.vox-cdn.com/uploads/chorus_asset/file/10147667/500122416.jpg.jpg
2004,Record,Peyton Manning Breaks Single Season Passing Touchdown Record (49),"While playing for the Colts, on the final day of the 2004 season, Peyton Manning threw for his 49th touchdown of the season against the Detroit Lions, breaking the previous single-season record. That season, Manning led his team to a 12-4 record, which saw them win the AFC South. Unfortunately, even with his success he was unable to take his team to the Super Bowl, and settled for a loss in the AFC championship game.",https://i.ytimg.com/vi/niBteFnO2d0/hqdefault.jpg,https://cdn.vox-cdn.com/thumbor/SpZiF-LUJUAJLvofIahlRGEko94=/1400x1400/filters:format(jpeg)/cdn.vox-cdn.com/uploads/chorus_asset/file/11595677/508988798.jpg.jpg
2007,Record,Tom Brady Breaks Single Season Passing Touchdown Record (50),"In an overall historic season, Tom Brady broke Peyton Manning's previous record and threw for 50 touchdowns in a single season. In this season, the Patriots went undefeated at 16-0, and were on track to win the Super Bowl but lost to the Giants in the Super Bowl. It ended up being a disappointing loss to an otherwise unbelievable season.",http://cache.boston.com/bonzai-fba/Globe_Photo/2007/12/10/1197328371_6035-2.jpg,https://cdn.vox-cdn.com/thumbor/1dc_KHleAIoF-zsUGooukFv51Xg=/1400x1400/filters:format(jpeg)/cdn.vox-cdn.com/uploads/chorus_asset/file/13618127/1070846440.jpg.jpg
2013,Record,Peyton Manning Breaks Single Season Passing Touchdown Record (55),"In 2013 Peyton Manning reclaimed his record from Tom Brady, throwing for an incredible 55 touchdowns. Manning had a strong start to the season where he threw for a record 7 touchdowns against the Baltimore Ravens. He still holds this record today, and even with the likes of young talent like Patrick Mahomes and Lamar Jackson, it appears as if his record will stand for years to come.",https://i.ytimg.com/vi/7B753aCCdOM/hqdefault.jpg,https://img.bleacherreport.net/img/images/photos/002/673/162/18_crop_exact.jpg?w=1200&h=1200&q=75
2011,Record,"Drew Brees Breaks Single Season Passing Yards Record (5,476)","Despite being constantly overlooked for his height, Drew Brees has proven himself time and time again as one of the best quarterbacks in history. In 2011, he threw for 5,476 yards and broke the record for the single most yards thrown for in a season. He led the New Orleans Saints to a 13-3 record, which gave them the NFC South title.",https://cdn.vox-cdn.com/thumbor/m1benKf8OU-45NKQkecibnjwuHY=/0x0:2046x1578/1200x800/filters:focal(1021x159:1347x485)/cdn.vox-cdn.com/uploads/chorus_image/image/61694377/1034451278.jpg.0.jpg,https://img.bleacherreport.net/img/images/photos/003/768/148/hi-res-f7855dc930ca466deff42bd80a9be377_crop_exact.jpg?w=1200&h=1200&q=75
2013,Record,"Peyton Manning Breaks Single Season Passing Yards Record (5,477)","Yet another Peyton Manning record, he threw for 5,477 yards over the course of the 2013 season. He set this record just two years after Drew Brees threw for 5,476 yards, and beat him out by a single yard. This season was all around historic for Manning as he also broke the single season touchdown record and the single game touchdown record.",https://cdn.vox-cdn.com/thumbor/pTg8u2QWm4wyFYPQs8EoFzMprro=/0x16:4000x2683/1200x800/filters:focal(0x16:4000x2683)/cdn.vox-cdn.com/uploads/chorus_image/image/25941361/459735909.0.jpg,https://img.bleacherreport.net/img/images/photos/001/880/960/hi-res-151688125_crop_exact.jpg?w=1200&h=1200&q=75
